current_symbol,primary_FBid,sequence_loc
jagn,FBgn0037374,3R:5779315..5781308(1)
Hat1,FBgn0037376,3R:5787337..5789384(-1)
Rpn5,FBgn0028690,3R:5789493..5791569(1)
Hpf1,FBgn0037377,3R:5791879..5793383(1)
PSMG1,FBgn0037378,3R:5793308..5794317(-1)
CG10979,FBgn0037379,3R:5794705..5799994(1)
CG11000,FBgn0263353,3R:5802328..5813258(1)
Hpr1,FBgn0037382,3R:5818794..5821440(-1)
Sec20,FBgn0037383,3R:5822026..5824532(-1)
dgrn,FBgn0037384,3R:5824615..5826576(1)
disp,FBgn0029088,3R:5849697..5856311(-1)
ECSIT,FBgn0028436,3R:5856585..5857914(1)
CG2017,FBgn0037391,3R:5858083..5862405(-1)
Rm62,FBgn0003261,3R:6000426..6008579(-1)
Gasp,FBgn0026077,3R:6088799..6100887(-1)
Osi6,FBgn0027527,3R:6234708..6237181(1)
Osi7,FBgn0037414,3R:6248994..6251683(1)
Osi15,FBgn0037424,3R:6301804..6303653(1)
Osi18,FBgn0037428,3R:6330248..6331809(1)
Osi20,FBgn0037430,3R:6340095..6341424(1)
SmD2,FBgn0261789,3R:6345000..6345911(-1)
CG18048,FBgn0037435,3R:6346111..6347519(1)
Pak,FBgn0267698,3R:6350896..6361614(1)
CG42724,FBgn0261641,3R:6361672..6368288(-1)
CG10286,FBgn0037439,3R:6368965..6371115(1)
CRAT,FBgn0037440,3R:6371026..6376044(-1)
CG1024,FBgn0027514,3R:6377349..6380328(-1)
TfIIFalpha,FBgn0010282,3R:6380467..6382604(1)
gzl,FBgn0037442,3R:6382914..6388304(1)
Dmtn,FBgn0037443,3R:6389162..6405895(-1)
gpp,FBgn0264495,3R:6406855..6449274(1)
CG9727,FBgn0037445,3R:6449944..6456676(-1)
Zif,FBgn0037446,3R:6457088..6458822(1)
Taf1,FBgn0010355,3R:6646889..6656048(1)
CG1307,FBgn0026566,3R:6656030..6657442(-1)
twr,FBgn0262801,3R:6657882..6659442(1)
agt,FBgn0024912,3R:6658806..6660100(-1)
lab,FBgn0002522,3R:6661427..6678590(-1)
Ccp84Ag,FBgn0004777,3R:6686728..6688039(1)
Ccp84Ac,FBgn0004781,3R:6695148..6696271(-1)
zen2,FBgn0004054,3R:6743135..6744136(-1)
zen,FBgn0004053,3R:6752864..6754194(-1)
bcd,FBgn0000166,3R:6755842..6759466(-1)
lncRNA:CR45593,FBgn0267153,3R:6761513..6763478(-1)
Ama,FBgn0000071,3R:6762593..6765261(1)
Dfd,FBgn0000439,3R:6791836..6802428(1)
Scr,FBgn0003339,3R:6823120..6849981(-1)
ftz,FBgn0001077,3R:6864324..6866244(1)
lncRNA:CR44931,FBgn0266236,3R:6877678..6885278(-1)
lncRNA:CR45559,FBgn0267119,3R:6892918..6893462(-1)
Antp,FBgn0260642,3R:6896253..6999228(-1)
Sodh1,FBgn0024289,3R:7052335..7054541(1)
CG1105,FBgn0037465,3R:7064186..7067136(-1)
CG1965,FBgn0037466,3R:7067401..7071624(1)
Ufl1,FBgn0037467,3R:7071624..7074452(-1)
CG1943,FBgn0037468,3R:7074859..7077981(1)
Ref1,FBgn0010774,3R:7077904..7080387(-1)
Dpck,FBgn0037469,3R:7082182..7083251(1)
Tailor,FBgn0037470,3R:7083225..7086083(-1)
alphaTub84B,FBgn0003884,3R:7086599..7088839(1)
lncRNA:CR43685,FBgn0263768,3R:7092347..7093707(-1)
e(y)2b,FBgn0040670,3R:7093935..7094727(1)
Alh,FBgn0261238,3R:7094596..7124185(-1)
Mlp84B,FBgn0014863,3R:7112850..7117732(-1)
CG10098,FBgn0037472,3R:7124548..7126503(1)
CG10068,FBgn0037473,3R:7126271..7128027(-1)
CG2656,FBgn0037478,3R:7144724..7151270(1)
gfzf,FBgn0250732,3R:7145880..7150968(-1)
Sas-4,FBgn0011020,3R:7151367..7154219(1)
MAGE,FBgn0037481,3R:7154238..7155180(-1)
sas,FBgn0002306,3R:7162808..7183702(1)
CG10055,FBgn0037482,3R:7184101..7186673(-1)
lap,FBgn0086372,3R:7186994..7200941(1)
Noc3,FBgn0037489,3R:7244232..7246969(-1)
CG10053,FBgn0037490,3R:7247090..7248140(1)
CG1227,FBgn0037491,3R:7248151..7249738(-1)
Dtwd2,FBgn0037492,3R:7249795..7251750(1)
CG1142,FBgn0037504,3R:7472458..7473781(-1)
alpha-Est10,FBgn0015569,3R:7486583..7493845(-1)
Rtnl2,FBgn0015831,3R:7528864..7530241(-1)
alphaTub84D,FBgn0003885,3R:7530753..7532732(1)
alpha-Est5,FBgn0261393,3R:7533496..7536390(-1)
alpha-Est3,FBgn0015571,3R:7538972..7541631(-1)
alpha-Est1,FBgn0015568,3R:7545733..7549124(-1)
pyd3,FBgn0037513,3R:7747913..7750079(-1)
Sp7,FBgn0037515,3R:7759786..7763947(1)
CG2641,FBgn0037518,3R:7794069..7796599(1)
CG2993,FBgn0037521,3R:7804665..7810014(-1)
sgll,FBgn0051472,3R:7810532..7811912(1)
CG17816,FBgn0037525,3R:7855582..7886733(-1)
ArgRS-m,FBgn0037526,3R:7887045..7890150(1)
mRpS9,FBgn0037529,3R:7889277..7902667(-1)
EMC1,FBgn0037530,3R:7903030..7907363(-1)
Taf7,FBgn0024909,3R:7907333..7909721(1)
Prat,FBgn0004901,3R:7909598..7911779(-1)
Rfk,FBgn0014930,3R:7912017..7913290(-1)
kipf,FBgn0014931,3R:7913851..7916550(1)
CG10445,FBgn0037531,3R:7916599..7920299(-1)
lds,FBgn0002542,3R:7920431..7924491(1)
CD98hc,FBgn0037533,3R:7974409..7978428(-1)
PIG-H,FBgn0037535,3R:7999832..8001064(1)
Kmn2,FBgn0266598,3R:8000548..8001309(-1)
CG2698,FBgn0037536,3R:8001562..8006033(1)
CG2767,FBgn0037537,3R:8005924..8008110(-1)
CG3223,FBgn0037538,3R:8009400..8011018(1)
CG10435,FBgn0037539,3R:8010907..8013201(-1)
Pbp95,FBgn0037540,3R:8013791..8016610(1)
CG2747,FBgn0037541,3R:8016210..8030790(-1)
ImpE3,FBgn0001255,3R:8028453..8029546(-1)
CG10903,FBgn0037543,3R:8030411..8032145(1)
CG11035,FBgn0037544,3R:8031130..8033009(-1)
unc-45,FBgn0288846,3R:8033301..8037403(1)
CG7900,FBgn0037548,3R:8094124..8105083(1)
puc,FBgn0243512,3R:8105332..8122294(1)
CG7878,FBgn0037549,3R:8122725..8125273(1)
CG9667,FBgn0037550,3R:8125290..8126357(-1)
Arl8,FBgn0037551,3R:8126605..8129835(1)
grn,FBgn0001138,3R:8147368..8181444(-1)
CG7800,FBgn0037552,3R:8217957..8219734(1)
PolI,FBgn0037554,3R:8233507..8237389(1)
Ada2b,FBgn0037555,3R:8236632..8240515(-1)
CG9636,FBgn0037556,3R:8240747..8243792(-1)
RPA1,FBgn0010173,3R:8262120..8264451(-1)
Mcm2,FBgn0014861,3R:8264970..8267924(1)
CG9630,FBgn0037561,3R:8267943..8269896(-1)
ato,FBgn0010433,3R:8278052..8279274(1)
mRpL1,FBgn0037566,3R:8301440..8302770(1)
nac,FBgn0265351,3R:8302686..8304023(-1)
Sgt1,FBgn0265101,3R:8304190..8305274(-1)
tex,FBgn0037569,3R:8307473..8308645(-1)
CG7483,FBgn0037573,3R:8313208..8314864(1)
Coq2,FBgn0037574,3R:8314784..8316543(-1)
Ctr1B,FBgn0062412,3R:8317612..8319205(1)
COX7A,FBgn0040529,3R:8339944..8341043(-1)
Arl2,FBgn0004908,3R:8341100..8341872(1)
PNKP,FBgn0037578,3R:8341661..8343516(-1)
DppIII,FBgn0037580,3R:8344400..8347465(1)
CG7352,FBgn0037581,3R:8347579..8349296(1)
Atg13,FBgn0261108,3R:8349815..8352817(1)
stck,FBgn0020249,3R:8356978..8359964(1)
Veneno,FBgn0037583,3R:8359958..8362554(-1)
CG45263,FBgn0266801,3R:8364328..8477617(-1)
CG11737,FBgn0037592,3R:8517868..8521378(1)
pch2,FBgn0051453,3R:8559540..8561764(-1)
mRpS18A,FBgn0051450,3R:8561917..8562593(-1)
CG31460,FBgn0051460,3R:8562673..8563445(1)
Cenp-C,FBgn0266916,3R:8564105..8569248(1)
Mkk4,FBgn0024326,3R:8646172..8650796(-1)
SLIRP2,FBgn0037602,3R:8651084..8651493(1)
Dhod,FBgn0000447,3R:8651391..8652916(-1)
Sys1,FBgn0037603,3R:8652821..8653847(1)
bel,FBgn0263231,3R:8654975..8660761(-1)
p,FBgn0086679,3R:8660903..8670684(-1)
CG8032,FBgn0037606,3R:8664115..8667772(1)
CG8036,FBgn0037607,3R:8667868..8673702(1)
mRpL19,FBgn0037608,3R:8674109..8675196(1)
Unc50,FBgn0037609,3R:8675283..8676613(-1)
CG8043,FBgn0037610,3R:8676915..8678233(1)
CG11755,FBgn0037611,3R:8676915..8678955(1)
hb,FBgn0001180,3R:8690980..8697822(-1)
Cks85A,FBgn0037613,3R:8712906..8718456(-1)
CG8112,FBgn0037612,3R:8712933..8715263(1)
TMEM216,FBgn0037614,3R:8716243..8721320(1)
nom,FBgn0037617,3R:8723174..8725357(1)
CG8159,FBgn0037619,3R:8726854..8728370(1)
ranshi,FBgn0037620,3R:8728367..8729693(-1)
M1BP,FBgn0037621,3R:8729790..8731698(-1)
CG8202,FBgn0037622,3R:8732091..8735837(1)
CG9801,FBgn0037623,3R:8735879..8747675(-1)
Nasp,FBgn0037624,3R:8747798..8754104(1)
CCT7,FBgn0037632,3R:8801564..8806234(1)
CG9839,FBgn0037633,3R:8803471..8805802(-1)
hng2,FBgn0037634,3R:8806322..8807581(1)
aqz,FBgn0286516,3R:8813490..8820682(-1)
IscU,FBgn0037637,3R:8822849..8824177(-1)
CG8379,FBgn0037638,3R:8824411..8827279(1)
pyd,FBgn0262614,3R:8827068..8931896(-1)
asRNA:CR44020,FBgn0264790,3R:8934279..8935287(-1)
osk,FBgn0003015,3R:8935126..8938395(1)
ScsbetaA,FBgn0037643,3R:8938724..8943027(1)
CG11964,FBgn0037644,3R:8942954..8945020(-1)
ich,FBgn0286204,3R:8950246..8963037(-1)
CAHbeta,FBgn0037646,3R:8980860..8982793(1)
RagA-B,FBgn0037647,3R:8982732..8984315(-1)
CG11970,FBgn0027503,3R:8984718..8990649(1)
E(var)3-9,FBgn0260243,3R:8990645..8992949(-1)
CG11975,FBgn0037648,3R:8993253..8995212(1)
CG11980,FBgn0037652,3R:9004017..9005331(1)
Prosbeta3,FBgn0026380,3R:9005313..9006226(-1)
Iru,FBgn0037653,3R:9006456..9008030(1)
CG11983,FBgn0037654,3R:9008321..9010274(1)
Kcmf1,FBgn0037655,3R:9010282..9014909(-1)
Sf3b5,FBgn0040534,3R:9014972..9015341(-1)
CG11986,FBgn0037656,3R:9015446..9016822(1)
tgo,FBgn0264075,3R:9016773..9020022(-1)
neur,FBgn0002932,3R:9020348..9039471(-1)
hyx,FBgn0037657,3R:9038760..9042349(1)
Nmdmc,FBgn0010222,3R:9042508..9050555(-1)
Rel,FBgn0014018,3R:9044183..9047977(-1)
Mst85C,FBgn0028708,3R:9048645..9052231(1)
Kdm2,FBgn0037659,3R:9052495..9063245(1)
beag,FBgn0037660,3R:9063132..9065078(-1)
Ada,FBgn0037661,3R:9065183..9066303(1)
pum,FBgn0003165,3R:9066343..9237682(-1)
D1,FBgn0000412,3R:9238083..9240654(-1)
Vps15,FBgn0260935,3R:9240757..9245869(-1)
CG8420,FBgn0037664,3R:9246649..9251431(1)
CG16734,FBgn0037667,3R:9255052..9256731(1)
Ibf2,FBgn0037669,3R:9257727..9258501(-1)
Ibf1,FBgn0037670,3R:9258964..9260400(1)
ATP6AP2,FBgn0037671,3R:9260638..9262590(1)
TrpRS,FBgn0010803,3R:9265027..9266904(-1)
Vps16A,FBgn0285911,3R:9267019..9270224(1)
Aduk,FBgn0037679,3R:9332064..9334714(-1)
pasi2,FBgn0037680,3R:9335170..9337459(1)
lncRNA:CR43301,FBgn0262993,3R:9338223..9339992(-1)
drn,FBgn0266410,3R:9340216..9362994(1)
Srr,FBgn0037684,3R:9365398..9367763(1)
FER,FBgn0000723,3R:9367603..9394546(-1)
CG34117,FBgn0083953,3R:9399570..9400053(-1)
RpL34b,FBgn0037686,3R:9400237..9401226(-1)
CG8132,FBgn0037687,3R:9401495..9402618(1)
CG9356,FBgn0037688,3R:9402564..9404269(-1)
alpha-Man-IIa,FBgn0011740,3R:9412548..9417264(1)
ps,FBgn0261552,3R:9417940..9455500(1)
GstZ1,FBgn0037696,3R:9455517..9456546(-1)
phu,FBgn0043791,3R:9494801..9496723(1)
RhoL,FBgn0014380,3R:9497101..9502581(-1)
CG8149,FBgn0037700,3R:9504656..9505865(1)
rump,FBgn0267790,3R:9505853..9510324(-1)
Ras85D,FBgn0003205,3R:9510561..9513067(-1)
Rlb1,FBgn0014022,3R:9513327..9514827(1)
mRpL47,FBgn0014023,3R:9514822..9515908(-1)
CG8176,FBgn0037702,3R:9516007..9527237(1)
Kdm3,FBgn0037703,3R:9516007..9520938(1)
by,FBgn0000244,3R:9528238..9533011(-1)
mura,FBgn0037705,3R:9535625..9551806(-1)
lncRNA:CR42549,FBgn0260722,3R:9548104..9551806(-1)
RnpS1,FBgn0037707,3R:9552034..9553747(1)
CG9386,FBgn0037708,3R:9553696..9555408(-1)
BckdhA,FBgn0037709,3R:9555785..9557776(1)
AP-1mu,FBgn0024833,3R:9557712..9559525(-1)
MBD-like,FBgn0027950,3R:9559760..9561533(1)
CG9393,FBgn0037710,3R:9561583..9563673(-1)
Vps45,FBgn0261049,3R:9563924..9566092(1)
CG16790,FBgn0037713,3R:9569074..9570214(-1)
CG9399,FBgn0037715,3R:9571911..9574211(-1)
Kap-alpha3,FBgn0027338,3R:9574484..9577733(-1)
Son,FBgn0037716,3R:9578042..9581225(1)
CG8301,FBgn0037717,3R:9581306..9586648(1)
P58IPK,FBgn0037718,3R:9586942..9589581(1)
bocks,FBgn0037719,3R:9589468..9591002(-1)
CG8312,FBgn0037720,3R:9591309..9625073(1)
CG8319,FBgn0037722,3R:9627321..9628676(1)
Calr,FBgn0005585,3R:9628691..9630851(-1)
SpdS,FBgn0037723,3R:9631641..9633673(1)
Scm,FBgn0003334,3R:9633359..9637611(-1)
Fst,FBgn0037724,3R:9644978..9646154(-1)
p23,FBgn0037728,3R:9677927..9679658(1)
nmdyn-D7,FBgn0028997,3R:9679939..9681502(1)
CG9444,FBgn0037730,3R:9681415..9684264(-1)
eca,FBgn0069242,3R:9684469..9685476(-1)
Unc-115b,FBgn0260463,3R:9687060..9692775(-1)
Unc-115a,FBgn0051352,3R:9694386..9705417(-1)
trbd,FBgn0037734,3R:9705996..9711037(-1)
dmt,FBgn0278604,3R:9711142..9714675(1)
hyd,FBgn0002431,3R:9714623..9725615(-1)
Pnn,FBgn0037737,3R:9740899..9742844(1)
CG12948,FBgn0037739,3R:9746167..9747744(-1)
PpD3,FBgn0005777,3R:9747875..9751094(1)
Tti1,FBgn0037741,3R:9751088..9754686(-1)
Rpt3R,FBgn0037742,3R:9754735..9756510(-1)
Alg12,FBgn0037743,3R:9756491..9759313(1)
Mpi,FBgn0286506,3R:9759622..9761208(1)
Snap24,FBgn0266720,3R:9761305..9763150(-1)
CG8478,FBgn0037746,3R:9763650..9766135(1)
MED6,FBgn0024330,3R:9766031..9768984(-1)
Naa80,FBgn0037747,3R:9767834..9770027(1)
CG9471,FBgn0037749,3R:9770532..9771542(-1)
RpS29,FBgn0261599,3R:9778042..9779528(1)
CG12947,FBgn0037753,3R:9780064..9783054(1)
MtnA,FBgn0002868,3R:9783407..9784370(-1)
CG12945,FBgn0037755,3R:9787816..9791221(-1)
CG8507,FBgn0037756,3R:9791483..9793098(1)
CG8516,FBgn0037757,3R:9793295..9797754(1)
CG9467,FBgn0037758,3R:9797769..9801026(-1)
FBXO11,FBgn0037760,3R:9803486..9809368(-1)
Glut4EF,FBgn0267336,3R:9874681..9995364(1)
Art4,FBgn0037770,3R:9982816..9986060(-1)
CG5359,FBgn0037773,3R:9999771..10001276(-1)
Mical,FBgn0053208,3R:10001554..10042895(-1)
CG3909,FBgn0027524,3R:10043270..10044606(1)
CG11722,FBgn0037777,3R:10044596..10045542(-1)
mtTFB2,FBgn0037778,3R:10045574..10047260(1)
CG12811,FBgn0037779,3R:10047252..10048797(-1)
ohgt,FBgn0037780,3R:10049199..10051527(1)
Fancl,FBgn0037781,3R:10051508..10052869(-1)
Fmr1,FBgn0028734,3R:10101420..10110121(-1)
CAH7,FBgn0037788,3R:10112237..10120081(1)
tws,FBgn0004889,3R:10126129..10139772(-1)
TAF1B,FBgn0037792,3R:10140103..10144184(-1)
Invadolysin,FBgn0086359,3R:10144668..10159134(1)
CG6254,FBgn0037794,3R:10159144..10161331(-1)
Best1,FBgn0040238,3R:10161464..10170487(-1)
CG12420,FBgn0037797,3R:10222698..10223745(1)
CG3999,FBgn0037801,3R:10251518..10255268(1)
Sirt6,FBgn0037802,3R:10255349..10261849(-1)
pont,FBgn0040078,3R:10262123..10263899(1)
Nuak,FBgn0262617,3R:10264306..10308467(1)
CG6293,FBgn0037807,3R:10307806..10311613(-1)
Bruce,FBgn0266717,3R:10312039..10331353(-1)
CG12818,FBgn0037809,3R:10331581..10332695(1)
sle,FBgn0037810,3R:10333115..10338265(1)
CG12592,FBgn0037811,3R:10338342..10340872(1)
jumu,FBgn0015396,3R:10350182..10361612(1)
Rfx,FBgn0020379,3R:10361760..10378068(-1)
cwo,FBgn0259938,3R:10388258..10400752(1)
CG6325,FBgn0037814,3R:10402967..10407285(-1)
Irp-1B,FBgn0024957,3R:10408618..10412869(-1)
Rrp46,FBgn0037815,3R:10413301..10414242(1)
CG6345,FBgn0037816,3R:10414218..10416046(-1)
hth,FBgn0001235,3R:10507561..10639568(-1)
CG6465,FBgn0037818,3R:10675560..10677251(-1)
Phyhd1,FBgn0037819,3R:10677737..10680925(-1)
Skel,FBgn0262717,3R:10686943..10696270(1)
pug,FBgn0020385,3R:10696534..10703316(1)
CG14683,FBgn0037822,3R:10696647..10698976(1)
CG31467,FBgn0051467,3R:10705170..10706863(-1)
CG31278,FBgn0051278,3R:10707398..10708340(-1)
CG31373,FBgn0051373,3R:10708487..10709364(-1)
TkR86C,FBgn0004841,3R:10737592..10751228(-1)
MED7,FBgn0051390,3R:10760071..10761032(-1)
Cap-H2,FBgn0037831,3R:10761310..10766756(1)
TfIIFbeta,FBgn0010421,3R:10766622..10767804(-1)
CG42633,FBgn0261356,3R:10780965..10782267(-1)
mRpL37,FBgn0261380,3R:10782563..10784092(-1)
Rbp1,FBgn0260944,3R:10784383..10786465(1)
Art1,FBgn0037834,3R:10786481..10788226(-1)
Mcm5,FBgn0017577,3R:10788524..10791150(1)
TTLL15,FBgn0037838,3R:10815288..10817490(1)
CG42394,FBgn0259740,3R:10849825..10851788(1)
CG6567,FBgn0037842,3R:10853374..10854451(-1)
CG4511,FBgn0037843,3R:10854501..10856412(1)
CG4570,FBgn0037844,3R:10856807..10858066(1)
CG6574,FBgn0037846,3R:10860531..10862988(-1)
SelR,FBgn0267376,3R:10863355..10868642(-1)
Tsp86D,FBgn0037848,3R:10868708..10870555(1)
Fdh,FBgn0011768,3R:10870906..10872381(-1)
Sodh2,FBgn0022359,3R:10876384..10878257(1)
Tpc1,FBgn0037852,3R:10879572..10882188(-1)
Leash,FBgn0037856,3R:10885540..10896418(1)
Ak3,FBgn0042094,3R:10887345..10889588(-1)
CG6621,FBgn0037855,3R:10889768..10893531(-1)
side-VI,FBgn0083950,3R:10972381..11050175(1)
Ugt302C1,FBgn0040259,3R:11157098..11159744(1)
Ugt35A1,FBgn0026315,3R:11170817..11172664(-1)
cu,FBgn0261808,3R:11197592..11208633(1)
SdhC,FBgn0037873,3R:11208887..11209849(-1)
Tctp,FBgn0037874,3R:11210247..11211898(1)
ZnT86D,FBgn0037875,3R:11212308..11214539(-1)
RpS25,FBgn0086472,3R:11215028..11216287(-1)
CG4820,FBgn0037876,3R:11216535..11217898(1)
CG6689,FBgn0037877,3R:11217898..11220064(-1)
CG6693,FBgn0037878,3R:11220268..11221639(-1)
RpL3,FBgn0020910,3R:11221894..11225173(1)
scpr-C,FBgn0037879,3R:11225520..11226681(1)
CG17726,FBgn0037880,3R:11226762..11228227(1)
GCC88,FBgn0037881,3R:11228158..11230600(-1)
